Object,Time Step,Instance ID,Coordinates,Wireless Delay,Num Users
MonitoredBaseStation_1,0,1,"[0, 0]",5.0,0
MonitoredBaseStation_2,0,2,"[250, 0]",5.0,0
MonitoredBaseStation_3,0,3,"[500, 0]",5.0,0
MonitoredBaseStation_4,0,4,"[750, 0]",5.0,0
MonitoredBaseStation_1,1,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,1,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,1,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,1,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,2,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,2,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,2,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,2,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,3,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,3,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,3,3,"[500, 0]",5.0,20
MonitoredBaseStation_4,3,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,4,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,4,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,4,3,"[500, 0]",5.0,20
MonitoredBaseStation_4,4,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,5,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,5,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,5,3,"[500, 0]",5.0,20
MonitoredBaseStation_4,5,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,6,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,6,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,6,3,"[500, 0]",5.0,20
MonitoredBaseStation_4,6,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,7,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,7,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,7,3,"[500, 0]",5.0,20
MonitoredBaseStation_4,7,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,8,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,8,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,8,3,"[500, 0]",5.0,20
MonitoredBaseStation_4,8,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,9,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,9,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,9,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,9,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,10,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,10,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,10,3,"[500, 0]",5.0,18
MonitoredBaseStation_4,10,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,11,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,11,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,11,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,11,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,12,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,12,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,12,3,"[500, 0]",5.0,20
MonitoredBaseStation_4,12,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,13,1,"[0, 0]",5.0,3
MonitoredBaseStation_2,13,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,13,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,13,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,14,1,"[0, 0]",5.0,3
MonitoredBaseStation_2,14,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,14,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,14,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,15,1,"[0, 0]",5.0,3
MonitoredBaseStation_2,15,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,15,3,"[500, 0]",5.0,20
MonitoredBaseStation_4,15,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,16,1,"[0, 0]",5.0,3
MonitoredBaseStation_2,16,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,16,3,"[500, 0]",5.0,21
MonitoredBaseStation_4,16,4,"[750, 0]",5.0,11
MonitoredBaseStation_1,17,1,"[0, 0]",5.0,3
MonitoredBaseStation_2,17,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,17,3,"[500, 0]",5.0,20
MonitoredBaseStation_4,17,4,"[750, 0]",5.0,11
MonitoredBaseStation_1,18,1,"[0, 0]",5.0,3
MonitoredBaseStation_2,18,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,18,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,18,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,19,1,"[0, 0]",5.0,3
MonitoredBaseStation_2,19,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,19,3,"[500, 0]",5.0,20
MonitoredBaseStation_4,19,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,20,1,"[0, 0]",5.0,3
MonitoredBaseStation_2,20,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,20,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,20,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,21,1,"[0, 0]",5.0,3
MonitoredBaseStation_2,21,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,21,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,21,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,22,1,"[0, 0]",5.0,2
MonitoredBaseStation_2,22,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,22,3,"[500, 0]",5.0,20
MonitoredBaseStation_4,22,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,23,1,"[0, 0]",5.0,3
MonitoredBaseStation_2,23,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,23,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,23,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,24,1,"[0, 0]",5.0,3
MonitoredBaseStation_2,24,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,24,3,"[500, 0]",5.0,18
MonitoredBaseStation_4,24,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,25,1,"[0, 0]",5.0,3
MonitoredBaseStation_2,25,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,25,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,25,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,26,1,"[0, 0]",5.0,3
MonitoredBaseStation_2,26,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,26,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,26,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,27,1,"[0, 0]",5.0,3
MonitoredBaseStation_2,27,2,"[250, 0]",5.0,16
MonitoredBaseStation_3,27,3,"[500, 0]",5.0,18
MonitoredBaseStation_4,27,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,28,1,"[0, 0]",5.0,3
MonitoredBaseStation_2,28,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,28,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,28,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,29,1,"[0, 0]",5.0,3
MonitoredBaseStation_2,29,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,29,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,29,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,30,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,30,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,30,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,30,4,"[750, 0]",5.0,13
